Date,Temperture,Humidity,Light,CO2,Humidity Ratio,Occupancy
08/04/2021 14:15,23.7,26,0,457,,0
,,,,,,
08/04/2021 14:15,23.7,26.2,584,550,,1
08/04/2021 14:19,23.7,26.272,585.2,749.2,0.004764163,3
08/04/2021 14:19,23.718,26.29,578.4,760.4,0.004772661,3
08/04/2021 14:21,23.73,26.23,572.6666667,769.6666667,0.004765153,3
08/04/2021 14:22,23.7225,26.125,493.75,774.75,0.004743773,3
08/04/2021 14:23,23.754,26.2,488.6,779,0.004766594,3
08/04/2021 14:23,23.76,26.26,568.6666667,790,0.004779332,3
08/04/2021 14:25,23.73,26.29,536.3333333,798,0.004776136,3
08/04/2021 14:25,23.754,26.29,509,797,0.004783094,3
08/04/2021 14:26,23.754,26.35,476,803.2,0.004794094,3
08/04/2021 14:28,23.736,26.39,510,809,0.004796189,3
08/04/2021 14:29,23.745,26.445,481.5,815.25,0.004808886,3
08/04/2021 14:30,23.7,26.56,481.8,824,0.004816793,3
08/04/2021 14:31,23.7,26.6,475.25,832,0.004824104,4
08/04/2021 14:31,23.7,26.7,469,845.3333333,0.004842381,4
08/04/2021 14:32,23.7,26.774,464,852.4,0.004855906,4
08/04/2021 14:34,23.7,26.89,464,861,0.00487711,4
08/04/2021 14:35,23.7,26.9725,455,880,0.004892191,4
08/04/2021 14:36,23.6,26.89,454,891,0.004847594,4
08/04/2021 14:37,23.64,26.976,458,897.6,0.004875045,4
08/04/2021 14:38,23.65,27.05,464,900.5,0.004891492,4
08/04/2021 14:38,23.64,27.1,473,908.8,0.00489763,4
08/04/2021 14:39,23.6,27.16,464,918,0.004896652,4
08/04/2021 14:41,23.6,27.236,498.4,925.2,0.004910462,4
08/04/2021 14:42,23.6,27.29,530.2,929.4,0.004920275,4
08/04/2021 14:43,23.6,27.33,533.6,936.4,0.004927544,4
08/04/2021 14:44,23.6,27.34,524.25,950,0.004929361,5
08/04/2021 14:44,23.625,27.3925,498.6666667,961,0.004946406,5
08/04/2021 14:45,23.6,27.39,516.3333333,963,0.004938448,5
08/04/2021 14:47,23.6,27.412,501.2,958.6,0.004942446,5
08/04/2021 14:48,23.6,27.5,522,965.3333333,0.004958439,5
08/04/2021 14:49,23.6,27.525,520.5,979.25,0.004962982,5
08/04/2021 14:50,23.6,27.6,505.2857143,978.4285714,0.004976614,5
08/04/2021 14:51,23.6,27.6,488.3333333,983,0.004976614,5
08/04/2021 14:51,23.6,27.54,512,992.6,0.004965709,5
08/04/2021 14:53,23.6,27.6,511,997.2,0.004976614,5
08/04/2021 14:54,23.61666667,27.63333333,501.5,999.5,0.004987718,5
08/04/2021 14:55,23.66666667,27.7,503.6666667,1001,0.005015051,5
08/04/2021 14:55,23.6,27.7,483.1666667,1009.5,0.00499479,5
08/04/2021 14:57,23.6,27.7225,483.5,1019,0.004998879,5
08/04/2021 14:57,23.6,27.79,473,1021,0.005011149,5
08/04/2021 14:58,23.6,27.85666667,470.3333333,1024.666667,0.005023268,5
08/04/2021 15:00,23.6,27.80428571,480.1428571,1030.428571,0.005013746,5
08/04/2021 15:01,23.575,27.79,464,1026.25,0.005003545,5
08/04/2021 15:02,23.54,27.81,474.4,1028,0.004996538,5
08/04/2021 15:03,23.6,27.978,470,1034.8,0.005045325,5
08/04/2021 15:04,23.525,28,454,1055.5,0.005026367,6
08/04/2021 15:04,23.5,27.978,454,1055.25,0.00501476,6
08/04/2021 15:06,23.5,28,454,1050,0.005018735,6
08/04/2021 15:07,23.5,28,454,1051.25,0.005018735,6
08/04/2021 15:08,23.5,28,445,1053.6,0.005018735,6
08/04/2021 15:08,23.5,28,439,1055.5,0.005018735,6
08/04/2021 15:10,23.5,28.025,444.25,1055,0.005023252,6
08/04/2021 15:10,23.445,28.125,454.75,1059.5,0.005024491,6
08/04/2021 15:11,23.39,28.18,455.8,1060,0.005017582,6
08/04/2021 15:13,23.39,28.2,451.6,1073.6,0.005021172,6
08/04/2021 15:14,23.39,28.2,451.6,1078.6,0.005021172,6
08/04/2021 15:15,23.39,28.2,454.75,1081,0.005021172,6
08/04/2021 15:16,23.39,28.2225,454.75,1082,0.005025211,6
08/04/2021 15:16,23.39,28.37333333,457.5,1088.833333,0.005052286,6
08/04/2021 15:17,23.37,28.39,464,1090.6,0.00504913,6
08/04/2021 15:19,23.39,28.32333333,464,1086,0.00504331,6
08/04/2021 15:20,23.37333333,28.445,464,1092.5,0.005060017,6
08/04/2021 15:21,23.39,28.5,471.5,1103.75,0.005075025,6
08/04/2021 15:22,23.32333333,28.5,475.6666667,1104.5,0.005054476,6
08/04/2021 15:23,23.365,28.5,471.5,1103.5,0.00506731,6
08/04/2021 15:23,23.29,28.5,467.75,1112,0.005044229,6
08/04/2021 15:24,23.30666667,28.53333333,466.5,1105.666667,0.005055304,6
08/04/2021 15:26,23.29,28.7,464,1104,0.005079916,6
08/04/2021 15:27,23.29,28.7,467,1117.2,0.005079916,6
08/04/2021 15:28,23.29,28.675,467.75,1121.25,0.005075455,6
08/04/2021 15:29,23.29,28.61666667,466.5,1115.666667,0.005065046,6
08/04/2021 15:29,23.29,28.66,459,1120,0.005072779,6
08/04/2021 15:30,23.29,28.55,464,1123.75,0.005053151,6
08/04/2021 15:32,23.29,28.6,470,1116,0.005062072,6
